#,Player,Lastname,FirstName,Team,Pos,Avg. Pick,Min. Pick,Max. Pick,# Drafts Selected In,Season
1525,"Richardson, Trent IND RB","Richardson,",Trent,IND,RB,70.92,1,302,8270,2014
1526,"Sanders, Emmanuel DEN WR","Sanders,",Emmanuel,DEN,WR,71.33,3,275,8288,2014
1527,"Bell, Joique DET RB","Bell,",Joique,DET,RB,71.98,1,335,8233,2014
1528,"David, Lavonte TBB LB","David,",Lavonte,TBB,LB,72.76,1,292,709,2014
1529,"Seahawks, Seattle SEA Def","Seahawks,",Seattle,SEA,Def,76.75,2,451,7547,2014
1530,"Quinn, Robert STL DE","Quinn,",Robert,STL,DE,78.01,1,286,681,2014
1531,"Colston, Marques NOS WR","Colston,",Marques,NOS,WR,78.9,9,337,8289,2014
1532,"Watkins, Sammy BUF WR","Watkins,",Sammy,BUF,WR,79.27,1,897,8205,2014
1533,"Wallace, Mike MIA WR","Wallace,",Mike,MIA,WR,80.64,6,277,8216,2014
1534,"Kaepernick, Colin SFO QB","Kaepernick,",Colin,SFO,QB,81.24,1,300,8049,2014
1535,"Wright, Kendall TEN WR","Wright,",Kendall,TEN,WR,82.15,8,299,8026,2014
1536,"Burfict, Vontaze CIN LB","Burfict,",Vontaze,CIN,LB,82.2,1,285,702,2014
1537,"Reed, Jordan WAS TE","Reed,",Jordan,WAS,TE,83.36,7,324,7995,2014
1538,"Decker, Eric NYJ WR","Decker,",Eric,NYJ,WR,83.41,4,261,8190,2014
1539,"Cutler, Jay CHI QB","Cutler,",Jay,CHI,QB,84.84,1,419,8086,2014
1540,"GriffinIII, Robert WAS QB","GriffinIII,",Robert,WAS,QB,85.2,1,252,7969,2014
1541,"Wilson, Russell SEA QB","Wilson,",Russell,SEA,QB,85.36,1,254,8058,2014
1542,"Rudolph, Kyle MIN TE","Rudolph,",Kyle,MIN,TE,86.55,5,398,8022,2014
1543,"Posluszny, Paul JAC LB","Posluszny,",Paul,JAC,LB,87.16,2,288,703,2014
1544,"Cooks, Brandin NOS WR","Cooks,",Brandin,NOS,WR,88.33,1,900,8129,2014
1545,"Olsen, Greg CAR TE","Olsen,",Greg,CAR,TE,89.19,10,369,7995,2014
1546,"Romo, Tony DAL QB","Romo,",Tony,DAL,QB,89.33,1,303,8066,2014
1547,"Thomas, Pierre NOS RB","Thomas,",Pierre,NOS,RB,89.97,5,444,8093,2014
1548,"Wayne, Reggie IND WR","Wayne,",Reggie,IND,WR,90.81,3,503,8153,2014
1549,"Tate, Golden DET WR","Tate,",Golden,DET,WR,90.93,1,413,8084,2014
1550,"Jones-Drew, Maurice OAK RB","Jones-Drew,",Maurice,OAK,RB,92.65,1,429,8202,2014
1551,"Pitta, Dennis BAL TE","Pitta,",Dennis,BAL,TE,94.05,6,383,7899,2014
1552,"Williams, Terrance DAL WR","Williams,",Terrance,DAL,WR,94.49,5,433,7943,2014
1553,"Moreno, Knowshon MIA RB","Moreno,",Knowshon,MIA,RB,99.59,4,376,8023,2014
1554,"Jones, Chandler NEP DE","Jones,",Chandler,NEP,DE,99.7,7,293,660,2014
1555,"Rivers, Philip SDC QB","Rivers,",Philip,SDC,QB,100.09,1,336,7994,2014
1556,"Ridley, Stevan NEP RB","Ridley,",Stevan,NEP,RB,100.23,1,348,7937,2014
1557,"Willis, Patrick SFO LB","Willis,",Patrick,SFO,LB,100.24,5,316,706,2014
1558,"Evans, Mike TBB WR","Evans,",Mike,TBB,WR,100.99,1,898,7817,2014
1559,"Ertz, Zach PHI TE","Ertz,",Zach,PHI,TE,101.46,8,404,7883,2014
1560,"Wagner, Bobby SEA LB","Wagner,",Bobby,SEA,LB,101.48,3,287,689,2014
1561,"Miller, Lamar MIA RB","Miller,",Lamar,MIA,RB,102.01,3,342,7836,2014
1562,"Jackson, Steven ATL RB","Jackson,",Steven,ATL,RB,102.57,9,429,7940,2014
1563,"Sproles, Darren PHI RB","Sproles,",Darren,PHI,RB,103.27,5,458,7963,2014
1564,"Benjamin, Kelvin CAR WR","Benjamin,",Kelvin,CAR,WR,104.88,2,910,7840,2014
1565,"49ers, SanFrancisco SFO Def","49ers,",SanFrancisco,SFO,Def,104.89,1,385,7545,2014
1566,"Hyde, Carlos SFO RB","Hyde,",Carlos,SFO,RB,108.78,1,903,7718,2014
1567,"Ogletree, Alec STL LB","Ogletree,",Alec,STL,LB,109.93,6,289,648,2014
1568,"Panthers, Carolina CAR Def","Panthers,",Carolina,CAR,Def,110.37,6,464,7533,2014
1569,"Hopkins, DeAndre HOU WR","Hopkins,",DeAndre,HOU,WR,110.56,5,308,7315,2014
1570,"Dalton, Andy CIN QB","Dalton,",Andy,CIN,QB,110.94,1,396,7864,2014
1571,"Woodhead, Danny SDC RB","Woodhead,",Danny,SDC,RB,111.14,5,528,7578,2014
1572,"Bowe, Dwayne KCC WR","Bowe,",Dwayne,KCC,WR,112.88,4,448,7661,2014
1573,"Jackson, Fred BUF RB","Jackson,",Fred,BUF,RB,113.18,4,631,7686,2014
1574,"Dansby, Karlos CLE LB","Dansby,",Karlos,CLE,LB,113.38,4,332,675,2014
1575,"Cooper, Riley PHI WR","Cooper,",Riley,PHI,WR,116.26,6,389,7629,2014
1576,"Randle, Rueben NYG WR","Randle,",Rueben,NYG,WR,116.99,6,371,7135,2014
1577,"Johnson, Derrick KCC LB","Johnson,",Derrick,KCC,LB,117.14,5,395,676,2014
1578,"Hardy, Greg CAR DE","Hardy,",Greg,CAR,DE,117.3,8,308,642,2014
1579,"Laurinaitis, James STL LB","Laurinaitis,",James,STL,LB,117.56,7,326,663,2014
1580,"Bennett, Martellus CHI TE","Bennett,",Martellus,CHI,TE,118.59,1,391,7509,2014
1581,"Hunter, Justin TEN WR","Hunter,",Justin,TEN,WR,120.27,6,407,6869,2014
1582,"Gostkowski, Stephen NEP PK","Gostkowski,",Stephen,NEP,PK,120.66,3,724,7788,2014
